runner_id,machine,role_id
23290,DB0B0915656,1152
23291,DB0B0915656,1153
23292,DB0B0810046,1148
23293,DB0B0810046,1149
23294,DB0B0810046,1150
23295,DB0B0810046,1151
23296,DB0B0810046,1152
23297,DB0B0810046,1153
23298,RB0B0870344,1154
23299,RB0B0870344,1155
23300,DB0B0829252,1156
23301,RB0B0829251,1154
23302,RB0B0829251,1155
23303,DB0B0829251,1156
23304,DB0B0915625,1154
23305,DB0B0915625,1155
23306,DB0B0915625,1156
23307,RB0B0826481,1154
23308,RB0B0826481,1155
23309,DB0B0826481,1156
23310,RB0B0915644,1154
23311,RB0B0915644,1155
23312,DB0B0915644,1156
23313,RB0B0828834,1157
23314,RB0B0828834,1158
23315,DB0B0828706,1157
23316,DB0B0828706,1158
23317,RB0B0876890,1079
23318,RB0B0876890,1080
23319,RB0B0876890,1081
23320,RB0B0876890,1082
23321,RB0B0810172,1079
23322,DB0B0810172,1080
23323,RB0B0810172,1081
23324,RB0B0810172,1082
23325,RB0B0810041,1079
23326,DB0B0810041,1080
23327,RB0B0810041,1081
23328,RB0B0810041,1082
23329,RB0B0835333,1079
23330,RB0B0835333,1080
23331,RB0B0835333,1081
23332,RB0B0835333,1082
23333,RB0B0810377,1079
23334,DB0B0810377,1080
23335,RB0B0810377,1081
23336,RB0B0810377,1082
23337,RB0B0826376,1079
23338,DB0B0826376,1080
23339,RB0B0826376,1081
23340,RB0B0826376,1082
23341,DB0B0873662,1161
23342,DB0B0563426,1162
23343,DB0B0563426,1163
23344,DB0B0563426,1164
23345,DB0B0563426,1165
23346,RB0B0898920,1166
23347,RB0B0898920,1167
23348,RB0B0898920,1168
23349,RB0B0898920,1169
23350,RB0B0898920,1170
23351,RB0B0898920,1171
23352,DB0B0899127,1172
23353,DB0B0872126,1138
23354,RB0B0872126,1139
23355,RB0B0872126,1140
23356,DB0B0872126,1141
23357,RB0B0876890,1083
23358,RB0B0876890,1084
23359,RB0B0810172,1083
23360,RB0B0810172,1084
23361,RB0B0810041,1083
23362,RB0B0810041,1084
23363,RB0B0835333,1083
23364,RB0B0835333,1084
23365,RB0B0810377,1083
