role_id,assistant_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,9
9,8
10,10
11,11
12,6
13,12
14,13
15,14
16,15
17,17
18,18
33,392
34,20
35,21
38,24
39,25
40,26
41,27
42,28
43,29
44,30
45,31
46,32
47,33
48,34
51,35
56,36
57,37
58,38
59,39
60,40
61,41
62,42
63,43
64,50
65,51
66,52
70,307
71,55
72,56
73,57
74,58
75,59
76,60
77,68
78,69
79,50
80,394
81,70
82,71
83,72
84,73
85,73
86,74
87,74
88,74
89,74
90,390
91,45
92,391
93,75
94,76
95,77
96,78
97,76
98,76
99,79
100,79
101,79
102,79
103,79
104,79
105,79
106,79
107,19
108,80
109,62
110,81
111,80
112,82
113,76
114,76
115,84
117,369
118,370
119,371
120,372
121,373
122,374
123,62
124,59
125,86
126,87
127,88
128,89
129,90
130,91
131,91
132,91
133,49
134,92
135,93
136,94
137,95
138,96
139,375
140,376
141,85
142,97
143,98
144,99
145,65
146,100
147,397
148,397
149,397
150,398
151,399
152,101
153,397
154,101
155,102
156,102
157,102
158,102
159,103
160,104
161,105
162,105
163,107
164,108
165,40
166,109
167,67
168,67
169,62
170,110
171,111
172,393
173,112
174,113
175,114
176,116
177,117
178,118
179,119
180,120
181,121
182,122
183,123
184,124
185,125
204,126
205,50
206,127
207,128
208,129
209,27
210,130
211,131
212,396
213,133
214,134
215,135
216,135
217,136
218,137
219,138
223,139
224,141
225,142
226,144
229,145
230,146
231,149
232,15
233,15
234,15
235,15
236,15
237,141
238,141
239,151
244,152
245,153
246,154
247,155
248,156
249,157
250,22
251,158
252,159
254,101
255,28
256,28
257,28
258,28
259,28
260,169
261,169
262,170
263,171
264,84
265,174
266,175
267,175
268,115
269,115
270,115
271,115
272,115
273,115
274,115
275,176
276,177
277,177
278,178
279,179
281,65
282,65
283,65
284,65
285,30
286,30
287,30
288,181
289,454
290,182
291,182
292,46
293,46
294,46
295,184
296,452
297,44
298,204
299,204
300,290
301,290
302,207
303,207
304,207
305,207
306,208
307,210
308,211
311,212
312,453
314,213
315,213
316,213
317,214
318,105
328,105
336,105
337,105
338,105
339,18
340,18
341,206
342,206
343,216
344,217
345,218
347,219
348,220
349,222
350,221
351,223
352,224
353,224
354,225
355,101
356,5
357,5
358,5
359,5
360,223
361,226
362,226
363,226
364,85
365,227
366,228
367,228
368,228
369,228
370,58
371,58
372,58
373,58
374,17
375,229
376,233
378,258
379,259
380,155
381,155
382,151
383,151
384,151
385,151
392,261
393,262
394,114
395,184
396,263
399,265
400,264
401,266
402,267
403,80
405,268
406,269
407,270
408,271
409,272
410,273
411,273
412,273
413,274
414,276
415,275
417,116
418,91
419,91
420,17
421,279
422,280
423,280
424,280
425,280
426,280
427,280
428,281
429,281
430,114
431,280
432,452
433,282
434,282
435,282
436,283
437,283
438,283
439,284
441,285
442,286
443,287
444,288
445,291
446,292
447,293
448,294
449,295
450,296
451,297
452,298
453,299
454,300
455,301
456,302
457,303
458,304
459,304
460,304
461,68
462,44
463,44
464,44
465,305
466,18
467,307
468,307
469,307
470,307
471,307
472,307
473,307
474,307
475,306
476,309
477,310
478,282
479,282
480,282
481,282
482,311
483,311
484,311
485,311
486,155
487,155
488,155
489,155
490,155
491,155
492,155
493,312
494,312
495,312
496,312
497,312
498,312
499,313
500,314
501,315
502,298
503,298
504,298
505,298
506,298
507,298
508,316
509,316
510,317
511,317
512,317
513,317
514,317
515,317
516,317
517,318
518,319
519,319
520,319
521,319
522,319
523,316
524,320
525,321
526,322
527,323
528,324
529,324
530,324
531,324
532,325
533,325
534,326
535,327
536,328
537,329
538,329
539,329
540,329
541,330
542,330
543,330
544,330
545,330
546,330
547,330
548,330
549,330
550,331
551,331
552,331
553,332
554,332
555,332
556,18
557,333
558,333
559,333
560,334
561,335
562,335
563,335
564,335
565,336
566,336
567,337
568,337
569,337
570,338
571,338
572,338
573,339
574,340
575,340
576,341
577,342
578,342
579,343
580,344
581,345
582,346
583,329
584,347
585,348
586,348
587,348
588,348
589,348
590,349
591,350
592,350
593,350
594,351
606,352
607,352
608,352
609,352
610,352
611,352
612,354
613,355
614,356
615,358
616,359
617,360
618,362
619,363
620,364
621,364
622,364
623,364
624,364
625,364
626,365
627,365
628,365
629,365
630,365
631,365
632,365
633,365
634,365
635,365
636,365
637,365
638,365
639,365
640,365
641,365
642,365
643,365
644,365
645,365
646,365
647,366
648,366
649,366
650,366
651,366
652,366
653,367
654,367
655,367
657,364
658,368
659,368
660,377
661,377
662,377
